chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1737821369,2025-01-25T16:09:29Z,PA2WDR-10,PI1SHB?,53(12/12),0,`,PA2WDR-10,/-,51.834333,4.355000,0.0,,,,,,Mic-Emsg,In Service,,_1
0,1737821382,2025-01-25T16:09:42Z,PI6BLA,PI6BLA,73(17/17),0,@,PI6BLA,/-,51.363167,5.250000,,,,,,,SQ3PLX http://microsat.com.pl/,,,"digi.i-gate, LoRa Bladel "
0,1737821383,2025-01-25T16:09:43Z,PI6BLA,PI1SHB,43(11/12),0,@,PI6BLA,/-,51.363167,5.250000,,,,,,,SQ3PLX http://microsat.com.pl/,,,"digi.i-gate, LoRa Bladel "
0,1737821384,2025-01-25T16:09:44Z,PI1SHB,PI1SHB,42(11/12),0,},PI1SHB,/ ,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1737821388,2025-01-25T16:09:48Z,PD0PYL,PD0PYL,47(15/12),0,',PD0PYL,/-,52.046500,4.468167,0.0,,,,,,Kenwood TM-D700,Off Duty,,
0,1737821389,2025-01-25T16:09:49Z,PD0PYL,PI1DRV,52(19/21),0,',PD0PYL,/-,52.046500,4.468167,0.0,,,,,,Kenwood TM-D700,Off Duty,,
0,1737821395,2025-01-25T16:09:55Z,PA2WDR-10,PA2WDR-10,46(11/11),0,`,PA2WDR-10,/-,51.834333,4.355000,0.0,,,,,,Mic-Emsg,In Service,,_1
0,1737821398,2025-01-25T16:09:58Z,ON7DS,PI1SHB?,44(11/13),0,',ON7DS,/#,51.116667,4.472333,0.0,,,,,,Kenwood TM-D710,In Service,,APRS DIGIPEATER KONTICH
0,1737821400,2025-01-25T16:10:00Z,PD3V-10,PI1SHB?,42(11/12),0,!,PD3V-10,T#,51.601833,5.228167,,,20.1,,,,"DireWolf, WB2OSZ",,,Digipeater Haaren JO21OO
0,1737821418,2025-01-25T16:10:18Z,PA5MB-9,PI1SHB?,47(12/11),0,`,PA5MB-9,E>,51.608500,4.654333,30.0,204.0,-13.0,,,,Mic-Emsg,En Route,,_4
0,1737821424,2025-01-25T16:10:24Z,PF1R-4,PI1SHB?,42(12/11),0,=,PF1R-4,\4,51.980500,4.341500,1.0,260.0,36.9,430.087,,,APRSdroid Android App http://aprsdroid.org/,,, N76 APRSDroid
0,1737821436,2025-01-25T16:10:36Z,ON0ANT-10,PI1SHB,65(12/13),0,@,ON0ANT-10,/-,51.217167,4.419500,,,,,,,SQ3PLX http://microsat.com.pl/,,,"WX3in1Plus2.0 U=12.2V,T=??.?C/??.?F"
